Lake Erie:, Monthly Average Water Levels (Cleveland, OH)
Source:, NOAA/NOS
year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,AnnAvg
1860,174.6164,174.5064,174.6284,174.8414,174.9054,174.8964,174.8174,174.7684,174.6644,174.5734,174.5464,174.4974,174.69
1861,174.4174,174.3314,174.4654,174.7824,174.9134,174.9354,174.8584,174.8714,174.8164,174.7464,174.7404,174.6694,174.71
1862,174.6654,174.5774,174.6204,174.8944,174.9674,174.9674,174.9584,174.8424,174.7484,174.6324,174.5284,174.5374,174.74
1863,174.6744,174.7624,174.7444,174.7804,174.8354,174.7924,174.7564,174.7314,174.6134,174.4794,174.3544,174.3444,174.66
1864,174.2554,174.3014,174.3654,174.5174,174.7304,174.7154,174.6364,174.5544,174.4874,174.3924,174.3404,174.3624,174.47
1865,174.2304,174.0534,174.1504,174.3704,174.5474,174.5414,174.5284,174.5044,174.4924,174.4004,174.2844,174.2424,174.36
1866,174.1594,174.1104,174.2294,174.4054,174.4724,174.5524,174.5854,174.5094,174.4914,174.4884,174.4154,174.4184,174.40
1867,174.3284,174.2314,174.3534,174.4504,174.6094,174.7034,174.6454,174.5514,174.4324,174.3284,174.1764,174.1094,174.41
1868,174.0503,173.9313,174.1113,174.3643,174.5013,174.6203,174.6113,174.4523,174.3703,174.2333,174.1843,174.1203,174.30
1869,174.1163,174.0953,174.2413,174.3323,174.5003,174.6193,174.7043,174.6743,174.5913,174.4543,174.3143,174.4213,174.42
1870,174.4933,174.5633,174.4933,174.6913,174.7553,174.7463,174.7583,174.7433,174.6673,174.5513,174.4593,174.4233,174.61
1871,174.3583,174.2573,174.3943,174.5413,174.6233,174.6323,174.6263,174.5803,174.5133,174.3093,174.2543,174.1203,174.43
1872,174.0953,174.0213,173.9943,174.0553,174.1893,174.3023,174.2993,174.2903,174.2203,174.1683,174.0673,173.9973,174.14
1873,173.9663,173.9693,173.9903,174.3803,174.5843,174.6093,174.6033,174.5843,174.4623,174.3713,174.3103,174.4233,174.35
1874,174.5323,174.5473,174.5593,174.6083,174.6353,174.6563,174.6663,174.6173,174.4773,174.3433,174.2153,174.1513,174.50
1875,174.0793,174.0283,174.0703,174.1923,174.3353,174.4543,174.4943,174.4913,174.4483,174.2993,174.2533,174.3203,174.29
1876,174.3043,174.4753,174.6733,174.8313,174.9293,174.9623,174.9293,174.8373,174.7863,174.6243,174.6483,174.5453,174.71
1877,174.3913,174.3703,174.3003,174.4313,174.5073,174.5323,174.6053,174.5623,174.5383,174.4163,174.3883,174.4133,174.45
1878,174.4363,174.4793,174.5183,174.6433,174.7233,174.7263,174.7263,174.6523,174.6133,174.5063,174.4423,174.4673,174.58
